group_id,leader,member
0,1 do pinos helado combinado 1 tosty mix snack 1 do p. te melocoton cero 2.5 l f4 16973,1 do pinos helado combinado 1 tosty mix snack 1 do p. te blanco cero 2.5 l f4 16973
0,1 do pinos helado combinado 1 tosty mix snack 1 do p. te melocoton cero 2.5 l f4 16973,1 do pinos helado combinado 1 tosty mix snack 1 do p. te melocoton cero 2.5 l f4 16973
1,1 helado do pinos chocolate 14 gl 499 grs1 pastello caramelle y vainilla break1 gaseosa pepsi cola 2.5 lts1 barquillo chocolate popular jack 65 grs,1 helado combinado do pinos 14 gl 499 grs1 pastel rectangular break hombre1 gaseosa pepsi cola 2.5 lts1 barquillo chocolate popular jack 65 grs
1,1 helado do pinos chocolate 14 gl 499 grs1 pastello caramelle y vainilla break1 gaseosa pepsi cola 2.5 lts1 barquillo chocolate popular jack 65 grs,1 helado combinado do pinos 14 gl 499 grs1 pastel rectangular break mujer1 gaseosa pepsi cola 2.5 lts1 barquillo chocolate popular jack 65 grs
1,1 helado do pinos chocolate 14 gl 499 grs1 pastello caramelle y vainilla break1 gaseosa pepsi cola 2.5 lts1 barquillo chocolate popular jack 65 grs,1 helado combinado do pinos 14 gl 499 grs1 pastello caramelle y vainilla break1 gaseosa pepsi cola 2.5 lts1 barquillo chocolate popular jack 65 grs
1,1 helado do pinos chocolate 14 gl 499 grs1 pastello caramelle y vainilla break1 gaseosa pepsi cola 2.5 lts1 barquillo chocolate popular jack 65 grs,1 helado do pinos chocochips 14 gl 499 grs1 pastel rectangular break hombre1 gaseosa pepsi cola 2.5 lts1 barquillo chocolate popular jack 65 grs
1,1 helado do pinos chocolate 14 gl 499 grs1 pastello caramelle y vainilla break1 gaseosa pepsi cola 2.5 lts1 barquillo chocolate popular jack 65 grs,1 helado do pinos chocochips 14 gl 499 grs1 pastel rectangular break mujer1 gaseosa pepsi cola 2.5 lts1 barquillo chocolate popular jack 65 grs
1,1 helado do pinos chocolate 14 gl 499 grs1 pastello caramelle y vainilla break1 gaseosa pepsi cola 2.5 lts1 barquillo chocolate popular jack 65 grs,1 helado do pinos chocochips 14 gl 499 grs1 pastello caramelle y vainilla break1 gaseosa pepsi cola 2.5 lts1 barquillo chocolate popular jack 65 grs
1,1 helado do pinos chocolate 14 gl 499 grs1 pastello caramelle y vainilla break1 gaseosa pepsi cola 2.5 lts1 barquillo chocolate popular jack 65 grs,1 helado do pinos chocolate 14 gl 499 grs1 pastel rectangular break hombre1 gaseosa pepsi cola 2.5 lts1 barquillo chocolate popular jack 65 grs
1,1 helado do pinos chocolate 14 gl 499 grs1 pastello caramelle y vainilla break1 gaseosa pepsi cola 2.5 lts1 barquillo chocolate popular jack 65 grs,1 helado do pinos chocolate 14 gl 499 grs1 pastel rectangular break mujer1 gaseosa pepsi cola 2.5 lts1 barquillo chocolate popular jack 65 grs
1,1 helado do pinos chocolate 14 gl 499 grs1 pastello caramelle y vainilla break1 gaseosa pepsi cola 2.5 lts1 barquillo chocolate popular jack 65 grs,1 helado do pinos chocolate 14 gl 499 grs1 pastello caramelle y vainilla break1 gaseosa pepsi cola 2.5 lts1 barquillo chocolate popular jack 65 grs
2,1 jugo de naranja do pinos litro2 pan pia simple 5 unidades1 huevos en kilo,1 jugo de naranja do pinos litro2 pan pia con queso 5 unid.1 huevos en kilo
2,1 jugo de naranja do pinos litro2 pan pia simple 5 unidades1 huevos en kilo,1 jugo de naranja do pinos litro2 pan pia simple 5 unidades1 huevos en kilo
3,1 pan tipo frances1 natilla la granja do pinos c sal 300 grs,1 pan tipo france con ajonjoli1 natilla la granja do pinos 300 grs
3,1 pan tipo frances1 natilla la granja do pinos c sal 300 grs,1 pan tipo france con queso1 natilla la granja do pinos 300 grs
3,1 pan tipo frances1 natilla la granja do pinos c sal 300 grs,1 pan tipo france con queso1 natilla la granja do pinos c sal 300 grs
3,1 pan tipo frances1 natilla la granja do pinos c sal 300 grs,1 pan tipo frances1 natilla la granja do pinos 300 grs
3,1 pan tipo frances1 natilla la granja do pinos c sal 300 grs,1 pan tipo frances1 natilla la granja do pinos c sal 300 grs
4,1 pastello caramelle y vainilla break1 helado do pinos chocochips 14 gl 499 grs1 gaseosa pepsi cola 2.5 lts1 barquillo chocolate popular jack 65 grs,1 pastel rectangular break mujer1 helado combinado do pinos 14 gl 499 grs1 gaseosa pepsi cola 2.5 lts1 barquillo chocolate popular jack 65 grs
4,1 pastello caramelle y vainilla break1 helado do pinos chocochips 14 gl 499 grs1 gaseosa pepsi cola 2.5 lts1 barquillo chocolate popular jack 65 grs,1 pastello caramelle y vainilla break1 helado do pinos chocochips 14 gl 499 grs1 gaseosa pepsi cola 2.5 lts1 barquillo chocolate popular jack 65 grs
5,1 slice queque la estacin y 1 copa la estacin,1 slice queque la estacin y 1 copa la estacin
6,1 yogurt ligth frutas deligurt do pinos 200 ml1 mix piapapaya en trozos break 200 grs,1 yogurt ligth frutas deligurt do pinos 200 ml1 mix piapapaya en trozos break 200 grs
7,10 % desc 1 do pinos helad guayabita 530 g,10 % desc 1 do pinos helad guayabita 530 g
8,10 % desc 1 do pinos helado miln menta 540 g,10 % desc 1 do pinos helado miln menta 540 g
9,10 % desc 1 do pinos helado tapita 540 g,10 % desc 1 do pinos helado tapita 540 g
10,1002 leche do pinos homogenizad 3800ml,1002 leche do pinos homogenizad
10,1002 leche do pinos homogenizad 3800ml,1002 leche do pinos homogenizad 3800ml
11,1057 leche do pinos homog gable 1800ml,1057 leche do pinos homog gable
11,1057 leche do pinos homog gable 1800ml,1057 leche do pinos homog gable 1800ml
12,1064 leche do pinos azul uht 1000ml,1064 leche do pinos azul uht
12,1064 leche do pinos azul uht 1000ml,1064 leche do pinos azul uht 1000ml
13,1132 leche do pinos delactomy 1000ml,1132 leche do pinos delactomy
13,1132 leche do pinos delactomy 1000ml,1132 leche do pinos delactomy 1000ml
14,1156 leche do pinos descremada 1000ml,1156 leche do pinos descremada
14,1156 leche do pinos descremada 1000ml,1156 leche do pinos descremada 1000ml
15,12 pack leche coronado uht 2 % lt,12 pack leche coronado uht 0 % lt
15,12 pack leche coronado uht 2 % lt,12 pack leche coronado uht 2 % lt
16,1200 leche do pinos homogen gable 1000ml,1200 leche do pinos homogen gable
16,1200 leche do pinos homogen gable 1000ml,1200 leche do pinos homogen gable 1000ml
17,15 % desc 1 do pinos t blanco cero bot inm 2.5l,15 % desc 1 do pinos t blanco cero bot inm 2.5l
18,18 % desc 2 do pinos helado deleite dulce de leche 565 g 9198,18 % desc 2 do pinos helado deleite dulce de leche 565 g 9198
19,1811 yogurt do pinos top fresa,1811 yogurt do pinos top fresa
20,2 canasta la estacin,2 canasta la estacin
22,2 do pinos helado sundae 110 g 26 % desc,2 do pinos helado sundae 110 g 26 % desc
23,2 do pinos lula yogurt fresa arroz 118 g 22 % desc,2 do pinos lula yogurt fresa arroz 118 g 22 % desc
24,2 do pinos trits pie limn 100 g 25 % desc,2 do pinos trits pie limn 100 g 25 % desc
25,2 gallito chocolate rompopito 144 g 20 % desc f4,2 gallito chocolate rompopito 144 g 20 % desc f4
26,2 melcochones simple jamn cinta azul 125 g queso procesado do pinos 8 unid jugo de naranja do pinos 1l por 200 cambium tipo de melcochon combo 2,2 melcochones simple jamn cinta azul 125 g queso procesado do pinos 8 unid jugo de naranja do pinos 1l por 200 cambium tipo de melcochon combo 2
27,2 pack choc gallito milan 12 un 112.8g desc 45 %,2 pack choc gallito milan 12 un 112.8g desc 45 %
28,2 pack choc gallito tableta rell milan 35 g de 40 %,2 pack choc gallito tableta rell milan 35 g de 40 %
30,2 pack chocolate gallito tableta morenito mix 200g desc 25 %,2 pack chocolate gallito tableta morenito mix 200g desc 25 %
31,2 pack chocolate gallito tapita 100 gr desc 20 %,2 pack chocolate gallito corazn 100 gr desc 20 %
31,2 pack chocolate gallito tapita 100 gr desc 20 %,2 pack chocolate gallito tapita 100 gr desc 20 %
32,2 pack conf gallito morenito 50un 210g desc 10 %,2 pack conf gallito menta 50un 210g desc 20 %
32,2 pack conf gallito morenito 50un 210g desc 10 %,2 pack conf gallito morenito 50un 210g desc 10 %
34,2 pack helado coronado natilla fresa 14 gl desc 25 %,2 pack helado coronado cajeta 14 gl desc 25 %
34,2 pack helado coronado natilla fresa 14 gl desc 25 %,2 pack helado coronado cajeta 14gl desc 25 %
34,2 pack helado coronado natilla fresa 14 gl desc 25 %,2 pack helado coronado crema 14 gl desc 25 %
34,2 pack helado coronado natilla fresa 14 gl desc 25 %,2 pack helado coronado frutas 14 gl desc 25 %
34,2 pack helado coronado natilla fresa 14 gl desc 25 %,2 pack helado coronado frutas 500g 14 gl
34,2 pack helado coronado natilla fresa 14 gl desc 25 %,2 pack helado coronado man 14 gl desc 25 %
34,2 pack helado coronado natilla fresa 14 gl desc 25 %,2 pack helado coronado natilla con fresa 1 4 gl desc 40 %
34,2 pack helado coronado natilla fresa 14 gl desc 25 %,2 pack helado coronado natilla con fresa 14 gl
34,2 pack helado coronado natilla fresa 14 gl desc 25 %,2 pack helado coronado natilla con fresa 14 gl desc 40 %
34,2 pack helado coronado natilla fresa 14 gl desc 25 %,2 pack helado coronado natilla fresa 14 gl desc 25 %
35,2 pack helado gallito guayabita 14gl desc 30 %,2 pack helado gallito guayabita 14gl desc 30 %
40,2 pack natilla zarcero con sal 750gr desc 35 %,2 pack natilla zarcero con sal 750 gr
40,2 pack natilla zarcero con sal 750gr desc 35 %,2 pack natilla zarcero con sal 750 gr cgrapa desc 35 %
